customer_id,age,gender,state,occupation,emp_years,monthly_income,active_loans,past_defaults,cibil_score,lender_type,gold_type,gold_weight_g,gold_purity_kt,market_value_inr,recoverable_value,loan_amount_inr,ltv_ratio,interest_rate_pct,tenure_months,emi_inr,income_to_emi,total_debt_burden,loan_year,loan_month,loan_quarter,default_status
GLC000000,29,Male,Kerala,Small Business,4,33895,3,0,486,Bank,Bar,20.97,24,128867.26,116945.96,91314.44,70.8593,23.49,6,16278.61,2.0822,1.4408,2023,4,2,0
GLC000001,60,Female,Kerala,Professional,5,243033,0,0,840,NBFC,Coin,62.13,22,348785.73,317252.84,292950.02,83.9914,13.2,6,50721.9,4.7915,0.2087,2024,6,2,0
GLC000002,61,Female,Kerala,Salaried,1,78196,0,1,639,NBFC,Jewellery,56.93,22,314362.11,240851.23,273087.31,86.8703,20.02,12,25299.92,3.0908,0.3235,2024,10,4,0
GLC000003,39,Male,Maharashtra,Small Business,7,31117,0,2,474,Bank,Coin,111.11,22,649466.5,590802.89,467842.54,72.0349,23.56,18,31105.57,1.0004,0.9996,2023,3,1,0
GLC000004,37,Male,Kerala,Daily Wage,0,11453,2,2,300,Bank,Jewellery,178.98,22,987292.15,792644.67,677639.81,68.6362,27.45,21,40997.99,0.2794,7.1593,2024,6,2,1
GLC000005,48,Female,Tamil Nadu,Daily Wage,2,17225,2,2,300,NBFC,Jewellery,164.88,22,1003290.89,768968.27,902028.74,89.907,29.38,9,112890.06,0.1526,13.1077,2023,4,2,1
GLC000006,48,Male,Maharashtra,Daily Wage,0,22435,2,2,300,NBFC,Jewellery,181,22,1009903.9,815065.11,893095.39,88.4337,26.64,12,85595.9,0.2621,7.6306,2022,7,3,1
GLC000007,39,Male,Kerala,Salaried,15,134783,0,0,691,NBFC,Coin,46.44,18,231893.82,200148.94,197679.51,85.2457,19.94,18,12796.66,10.5327,0.0949,2024,4,2,0
GLC000008,28,Female,Rajasthan,Salaried,16,72998,0,0,782,NBFC,Jewellery,71.99,20,358205.74,287726.48,308836.75,86.2177,14.22,9,36380.3,2.0065,0.4984,2022,9,3,0
GLC000009,45,Female,Andhra Pradesh,Salaried,9,91384,2,1,466,NBFC,Jewellery,58.72,24,345128.38,281200.37,299980.07,86.9184,24,6,53554.19,1.7064,1.1721,2022,8,3,0
GLC000010,48,Female,Uttar Pradesh,Daily Wage,3,8324,0,2,330,Bank,Jewellery,111.45,22,620828.89,472526.62,455409.65,73.3551,24.82,9,55976.83,0.1487,6.7248,2024,8,3,1
GLC000011,49,Female,Tamil Nadu,Professional,12,177864,0,0,860,NBFC,Jewellery,135.88,22,758550.39,657926.92,596459.55,78.6315,14.8,12,53779.16,3.3073,0.3024,2024,5,2,0
GLC000012,45,Female,Kerala,Salaried,8,67830,1,0,800,NBFC,Jewellery,86,24,561379.52,479835.17,428914.16,76.4036,14.82,12,38676.65,1.7538,0.5702,2023,9,3,0
GLC000013,39,Male,Karnataka,Farmer,2,40172,0,3,300,NBFC,Jewellery,65.01,22,387099.4,313073.3,330350.24,85.3399,27.06,21,19922.02,2.0165,0.4959,2023,2,1,1
GLC000014,52,Male,Tamil Nadu,Farmer,4,43323,1,0,460,Bank,Jewellery,128.23,20,637634.47,521598.2,422939.76,66.3295,21.56,6,74988.37,0.5777,1.7309,2023,10,4,0
GLC000015,42,Male,Karnataka,Farmer,4,27179,4,2,300,NBFC,Jewellery,102.18,18,508118.47,442641.84,450711.75,88.7021,30,9,56544.89,0.4807,8.3218,2023,4,2,1
GLC000016,36,Male,Andhra Pradesh,Farmer,8,19359,1,2,300,NBFC,Jewellery,166.6,20,849486.37,683956.89,761186.51,89.6055,27.75,24,41683.48,0.4644,2.1532,2024,7,3,1
GLC000017,40,Male,Andhra Pradesh,Small Business,7,80326,2,0,614,NBFC,Bar,15.52,22,95155.74,86108.04,78118.39,82.0953,20.35,12,7249.55,11.0801,0.1805,2022,11,4,0
GLC000018,22,Male,Gujarat,Small Business,6,52006,0,1,519,Bank,Jewellery,148.53,18,742876.17,614314.46,530184.78,71.3692,23.99,9,64953.24,0.8007,1.249,2024,11,4,0
GLC000019,39,Male,Tamil Nadu,Farmer,3,31323,2,0,567,Bank,Jewellery,140.09,18,635198.36,503713.23,413968.3,65.1715,20.32,9,49978,0.6267,3.1911,2023,6,2,0
GLC000020,49,Male,Karnataka,Salaried,5,81978,1,1,513,NBFC,Jewellery,174.01,22,989907.5,786370.85,888211.33,89.7267,24.44,12,84178.15,0.9739,1.0268,2024,10,4,0
GLC000021,45,Male,Andhra Pradesh,Daily Wage,1,20701,2,0,370,Bank,Jewellery,169.76,20,928079.61,805977.66,653983.36,70.4663,26.71,18,44492.99,0.4653,4.2986,2024,6,2,0
GLC000022,58,Male,Maharashtra,Farmer,1,30375,2,0,404,Bank,Jewellery,34.31,24,208320.38,174342.89,148122.04,71.103,26.55,9,18331.76,1.657,1.207,2023,2,1,1
GLC000023,39,Female,Kerala,Small Business,5,47832,2,2,300,NBFC,Jewellery,130.06,18,605182.28,510281.94,544664.05,90,28.82,18,37625.81,1.2713,1.5732,2022,5,2,1
GLC000024,47,Female,Karnataka,Small Business,4,92883,1,0,684,Bank,Bar,122.81,24,733587.69,703245.15,496076.94,67.6234,15.97,9,58852.05,1.5782,0.6336,2022,1,1,0
GLC000025,50,Female,Andhra Pradesh,Salaried,10,107158,1,0,803,NBFC,Coin,140.41,20,730992.21,621357.82,607451.6,83.0996,13.25,15,44165.6,2.4263,0.4122,2024,5,2,0
GLC000026,67,Male,West Bengal,Farmer,4,44885,3,1,300,NBFC,Bar,196.35,24,1187182.13,1116188.67,1068463.92,90,27.32,21,64573.66,0.6951,4.3159,2024,7,3,1
GLC000027,43,Male,Telangana,Small Business,0,61559,0,2,498,NBFC,Jewellery,26.34,20,129558.22,101218.29,111798.25,86.2919,24.23,12,10584.05,5.8162,0.1719,2024,8,3,1
GLC000028,30,Male,Kerala,Small Business,10,65228,0,0,497,Bank,Jewellery,127.7,22,751770.66,608920.64,563828,75,22.87,12,53007.5,1.2305,0.8126,2024,8,3,0
GLC000029,51,Female,Karnataka,Daily Wage,0,8850,1,1,324,Bank,Jewellery,121.4,20,619331.45,518931.5,431411.42,69.6576,26.27,18,29256.86,0.3025,3.3059,2023,6,2,1
GLC000030,62,Female,Telangana,Salaried,11,105448,3,0,787,Bank,Coin,6.46,22,37179.88,31678.16,26662.88,71.7132,10.95,6,4586.81,22.9894,0.1305,2024,10,4,0
GLC000031,38,Male,Karnataka,Farmer,0,51018,2,0,458,Bank,Jewellery,133.44,20,700411.63,547827.08,525308.72,75,23.94,15,40867.11,1.2484,1.6021,2024,5,2,0
GLC000032,51,Female,Tamil Nadu,Daily Wage,4,23857,3,0,300,Bank,Jewellery,101.95,20,537915.03,424887.53,388221.35,72.1715,26.91,12,37258.96,0.6403,4.6853,2024,10,4,1
